"Bug ID","Type","Summary","Product","Component","Assignee","Status","Resolution","Updated","Hardware","Priority","Severity","Summary","OS","Triage Owner"
1752390,"task","[wpt-sync] Sync PR 32572 - [GridFragmentation] Allow more row expansion.","Core","Layout","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32572 - [GridFragmentation] Allow more row expansion.","All","Daniel Holbert [:dholbert]"
1658510,"task","[wpt-sync] Sync PR 24946 - Support subframe loading from SXG in subresource Web Bundles","Testing","web-platform-tests","wptsync","NEW"," ---","2020-08-11 00:59:50","All","P4"," --","[wpt-sync] Sync PR 24946 - Support subframe loading from SXG in subresource Web Bundles","All","James Graham [:jgraham]"
1692806,"task","[wpt-sync] Sync PR 27628 - [CSS] Support case-sensitive attribute selector modifier","Core","CSS Parsing and Computation","wptsync","NEW"," ---","2021-02-14 20:53:01","All","P4"," --","[wpt-sync] Sync PR 27628 - [CSS] Support case-sensitive attribute selector modifier","All","Emilio Cobos Álvarez (:emilio)"
1755926,"task","[wpt-sync] Sync PR 32878 - Add test for preload headers in xhtml","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-17 06:41:04","All","P4"," --","[wpt-sync] Sync PR 32878 - Add test for preload headers in xhtml","All","Hsin-Yi Tsai [:hsinyi]"
1681904,"task","[wpt-sync] Sync PR 26850 - Remove CSS Transitions tests for discrete properties","Core","CSS Transitions and Animations","wptsync","NEW"," ---","2020-12-11 02:44:37","All","P4"," --","[wpt-sync] Sync PR 26850 - Remove CSS Transitions tests for discrete properties","All","Boris Chiou [:boris]"
1754392,"task","[wpt-sync] Sync PR 32766 - Fix wrong background obcuration by image with border-radius","Core","Layout: Images, Video, and HTML Frames","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32766 - Fix wrong background obcuration by image with border-radius","All","Emilio Cobos Álvarez (:emilio)"
1631760,"task","[wpt-sync] Sync PR 23137 - data URL dedicated workers and agent clusters","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-04-21 08:18:58","All","P4"," --","[wpt-sync] Sync PR 23137 - data URL dedicated workers and agent clusters","All","Hsin-Yi Tsai [:hsinyi]"
1667783,"task","[wpt-sync] Sync PR 25815 - Remove signed portion of Trust Token redemption records.","Testing","web-platform-tests","wptsync","NEW"," ---","2020-09-28 06:52:47","All","P4"," --","[wpt-sync] Sync PR 25815 - Remove signed portion of Trust Token redemption records.","All","James Graham [:jgraham]"
1716954,"enhancement","Implement the timing distribution metric type","Data Platform and Tools","Glean.js","nobody","NEW"," ---","2021-06-17 01:24:15","Unspecified","P4"," --","Implement the timing distribution metric type","Unspecified","Beatriz Rizental [:brizental]"
1753073,"task","[wpt-sync] Sync PR 32642 - Document better the enctype-specific form submission tests","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32642 - Document better the enctype-specific form submission tests","All","Hsin-Yi Tsai [:hsinyi]"
1662157,"task","[wpt-sync] Sync PR 25295 - Pin wptserve to latest version 3.0","Testing","web-platform-tests","wptsync","NEW"," ---","2020-08-31 08:09:12","All","P4"," --","[wpt-sync] Sync PR 25295 - Pin wptserve to latest version 3.0","All","James Graham [:jgraham]"
1701955,"task","[wpt-sync] Sync PR 28297 - Reporting API: test webidl conversion of 'types' member","Testing","web-platform-tests","wptsync","NEW"," ---","2021-03-30 07:56:31","All","P4"," --","[wpt-sync] Sync PR 28297 - Reporting API: test webidl conversion of 'types' member","All","James Graham [:jgraham]"
1748619,"task","[wpt-sync] Sync PR 32244 - Direct Sockets API: Use histograms to track network errors on tcp/udp opening.","Testing","web-platform-tests","wptsync","NEW"," ---","2022-01-05 04:19:45","All","P4"," --","[wpt-sync] Sync PR 32244 - Direct Sockets API: Use histograms to track network errors on tcp/udp opening.","All","James Graham [:jgraham]"
1751860,"task","[wpt-sync] Sync PR 32527 - ResourceTiming: Add some scenarios to iframe RT test","Core","Performance","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32527 - ResourceTiming: Add some scenarios to iframe RT test","All","Patricia Lawless"
1689569,"task","[wpt-sync] Sync PR 27385 - Notifications: Notification.get is removed","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-16 21:07:07","All","P4"," --","[wpt-sync] Sync PR 27385 - Notifications: Notification.get is removed","All","James Graham [:jgraham]"
1740655,"task","[wpt-sync] Sync PR 31593 - Prototype for batchGetAll()","Core","Storage: IndexedDB","wptsync","NEW"," ---","2021-11-10 20:32:28","All","P4"," --","[wpt-sync] Sync PR 31593 - Prototype for batchGetAll()","All","Jens Stutte [:jstutte]"
1755356,"task","[wpt-sync] Sync PR 32839 - App history: add a bit more transitionWhile() test coverage","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-17 00:11:46","All","P4"," --","[wpt-sync] Sync PR 32839 - App history: add a bit more transitionWhile() test coverage","All","James Graham [:jgraham]"
1725476,"task","[wpt-sync] Sync PR 30012 - `display:contents` should not prevent focus","Core","Layout","wptsync","NEW"," ---","2021-08-12 13:04:47","All","P4"," --","[wpt-sync] Sync PR 30012 - `display:contents` should not prevent focus","All","Daniel Holbert [:dholbert]"
1754053,"task","[wpt-sync] Sync PR 32732 - [webcodecs] Verify coded size alignment.","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32732 - [webcodecs] Verify coded size alignment.","All","James Graham [:jgraham]"
1664123,"task","[wpt-sync] Sync PR 25464 - Add manual timeout steps to coep/none.https.html","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-09-10 08:51:16","All","P4"," --","[wpt-sync] Sync PR 25464 - Add manual timeout steps to coep/none.https.html","All","Hsin-Yi Tsai [:hsinyi]"
1711591,"task","Add CONTACTS tab to CA Information Update Request Case type","NSS","Common CA Database","nobody","NEW"," ---","2021-12-06 13:16:52","Unspecified","P4"," --","Add CONTACTS tab to CA Information Update Request Case type","Unspecified",
1752661,"task","[wpt-sync] Sync PR 32606 - Address remaining comments in crrev.com/c/3417175","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32606 - Address remaining comments in crrev.com/c/3417175","All","Hsin-Yi Tsai [:hsinyi]"
1660990,"task","[wpt-sync] Sync PR 25225 - Augment COEP violation report","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-09-01 12:01:32","All","P4"," --","[wpt-sync] Sync PR 25225 - Augment COEP violation report","All","Hsin-Yi Tsai [:hsinyi]"
1697705,"task","[wpt-sync] Sync PR 28017 - Update tests for ruby and sub-elements in HTML","Core","DOM: Core & HTML","wptsync","NEW"," ---","2021-03-10 19:11:39","All","P4"," --","[wpt-sync] Sync PR 28017 - Update tests for ruby and sub-elements in HTML","All","Hsin-Yi Tsai [:hsinyi]"
1756390,"task","[wpt-sync] Sync PR 32921 - Test permission API against non-fully-active doc","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-20 23:11:23","All","P4"," --","[wpt-sync] Sync PR 32921 - Test permission API against non-fully-active doc","All","James Graham [:jgraham]"
1649027,"task","[wpt-sync] Sync PR 24376 - Delete META.yml","Testing","web-platform-tests","wptsync","NEW"," ---","2020-06-28 14:17:52","All","P4"," --","[wpt-sync] Sync PR 24376 - Delete META.yml","All","James Graham [:jgraham]"
1736595,"task","Remove ambiguity around EmbeddingLevel values for Bidi","Core","Internationalization","nobody","NEW"," ---","2021-10-19 07:33:04","Unspecified","P4"," --","Remove ambiguity around EmbeddingLevel values for Bidi","Unspecified","Makoto Kato [:m_kato]"
1754788,"task","[wpt-sync] Sync PR 32800 - Add tests for Web APIs in ShadowRealms.","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32800 - Add tests for Web APIs in ShadowRealms.","All","Hsin-Yi Tsai [:hsinyi]"
1636143,"defect","Intermittent dom/security/test/csp/test_upgrade_insecure_navigation.html | application crashed [@ mozilla::ipc::PrincipalInfoToPrincipal(mozilla::ipc::PrincipalInfo const&, nsresult*)]","Core","DOM: Security","nobody","NEW"," ---","2020-05-12 04:23:40","Unspecified","P4"," --","Intermittent dom/security/test/csp/test_upgrade_insecure_navigation.html | application crashed [@ mozilla::ipc::PrincipalInfoToPrincipal(mozilla::ipc::PrincipalInfo const&, nsresult*)]","Unspecified","Christoph Kerschbaumer [:ckerschb]"
1718895,"defect","Regression: Overlapping in Pocket Doorhanger due to smaller button","Firefox","Pocket","nobody","NEW"," ---","2021-12-01 04:11:04","Unspecified","P4"," --","Regression: Overlapping in Pocket Doorhanger due to smaller button","Unspecified","Scott [:thecount] Downe"
1753526,"task","[wpt-sync] Sync PR 32680 - Revert ""Add tentative WPT tests for render-blocked APIs""","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-03 14:02:49","All","P4"," --","[wpt-sync] Sync PR 32680 - Revert ""Add tentative WPT tests for render-blocked APIs""","All","James Graham [:jgraham]"
1750566,"task","[wpt-sync] Sync PR 32413 - AnonymousIframe: Check FencedFrame Interaction (3/3)","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32413 - AnonymousIframe: Check FencedFrame Interaction (3/3)","All","Hsin-Yi Tsai [:hsinyi]"
1756512,"task","[wpt-sync] Sync PR 32936 - Bump hypothesis from 6.31.3 to 6.37.1 in /tools","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-21 14:17:42","All","P4"," --","[wpt-sync] Sync PR 32936 - Bump hypothesis from 6.31.3 to 6.37.1 in /tools","All","James Graham [:jgraham]"
1651340,"enhancement","Provide upload ""off the main process"" as a service (e.g. Glean's pingsender)","Data Platform and Tools","Glean: SDK","nobody","NEW"," ---","2021-10-24 03:30:00","Unspecified","P4"," --","Provide upload ""off the main process"" as a service (e.g. Glean's pingsender)","Unspecified","Jan-Erik Rediger [:janerik]"
1687572,"task","[wpt-sync] Sync PR 27251 - Integrate Android logcat to wptrunner","Testing","web-platform-tests","wptsync","NEW"," ---","2021-01-19 15:34:56","All","P4"," --","[wpt-sync] Sync PR 27251 - Integrate Android logcat to wptrunner","All","James Graham [:jgraham]"
1737475,"task","[wpt-sync] Sync PR 31363 - Fix #31238: use vendoring for our vendoring","Testing","web-platform-tests","wptsync","NEW"," ---","2021-10-24 10:24:33","All","P4"," --","[wpt-sync] Sync PR 31363 - Fix #31238: use vendoring for our vendoring","All","James Graham [:jgraham]"
1754944,"task","[wpt-sync] Sync PR 32812 - Revert ""New tets for use of currentColor in @font-palette-values""","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32812 - Revert ""New tets for use of currentColor in @font-palette-values""","All","James Graham [:jgraham]"
1637594,"task","[wpt-sync] Sync PR 23565 - Shape-verifying reference tests for stroke-linejoin=""miter"" with miterlimit","Core","SVG","wptsync","NEW"," ---","2020-05-13 06:24:50","All","P4"," --","[wpt-sync] Sync PR 23565 - Shape-verifying reference tests for stroke-linejoin=""miter"" with miterlimit","All","Jonathan Watt [:jwatt]"
1675773,"task","Investigate supporting integers fields as event_properties in events_daily","Data Platform and Tools","Datasets: General","nobody","NEW"," ---","2020-11-06 06:45:08","Unspecified","P4"," --","Investigate supporting integers fields as event_properties in events_daily","Unspecified","Mark Reid [:mreid]"
1720734,"task","[wpt-sync] Sync PR 29678 - Fix handling of multiple transform animations.","Core","Web Painting","wptsync","NEW"," ---","2021-07-15 09:12:45","All","P4"," --","[wpt-sync] Sync PR 29678 - Fix handling of multiple transform animations.","All","Miko Mynttinen [:miko]"
1753644,"task","[wpt-sync] Sync PR 32694 - [Private Network Access] Web Platform Tests for redirects.","Core","DOM: Networking","wptsync","NEW"," ---","2022-02-17 06:13:49","All","P4"," --","[wpt-sync] Sync PR 32694 - [Private Network Access] Web Platform Tests for redirects.","All","Dragana Damjanovic [:dragana]"
1663008,"task","[wpt-sync] Sync PR 25381 - WPT: Refactor shape-detection tests to use test-only-api.js","Testing","web-platform-tests","wptsync","NEW"," ---","2020-09-10 08:51:16","All","P4"," --","[wpt-sync] Sync PR 25381 - WPT: Refactor shape-detection tests to use test-only-api.js","All","James Graham [:jgraham]"
1708358,"defect","The glean command must fail build on errors","Data Platform and Tools","Glean.js","nobody","NEW"," ---","2021-05-10 07:07:06","Unspecified","P4"," --","The glean command must fail build on errors","Unspecified","Beatriz Rizental [:brizental]"
1752484,"task","[wpt-sync] Sync PR 32586 - Add extra named line 'a' to line-names-008","Core","Layout: Grid","wptsync","NEW"," ---","2022-01-27 23:18:40","All","P4"," --","[wpt-sync] Sync PR 32586 - Add extra named line 'a' to line-names-008","All","Daniel Holbert [:dholbert]"
1659437,"task","[wpt-sync] Sync PR 25035 - [blink] Move microtask checkpoint in module script evaluation","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-09-08 03:33:53","All","P4"," --","[wpt-sync] Sync PR 25035 - [blink] Move microtask checkpoint in module script evaluation","All","Hsin-Yi Tsai [:hsinyi]"
1744936,"task","Should we instrument ping upload worker impossible errors?","Data Platform and Tools","Glean.js","nobody","NEW"," ---","2021-12-13 07:39:51","Unspecified","P4"," --","Should we instrument ping upload worker impossible errors?","Unspecified","Beatriz Rizental [:brizental]"
1756090,"task","[wpt-sync] Sync PR 32892 - Simplify geolocation-API/watchPosition_permission_deny.https.html","Core","DOM: Geolocation","wptsync","NEW"," ---","2022-02-17 20:34:19","All","P4"," --","[wpt-sync] Sync PR 32892 - Simplify geolocation-API/watchPosition_permission_deny.https.html","All","Hsin-Yi Tsai [:hsinyi]"
1684108,"task","[wpt-sync] Sync PR 27004 - Rename native_file_system -> file_system_access part 6/x.","Testing","web-platform-tests","wptsync","NEW"," ---","2020-12-23 14:23:35","All","P4"," --","[wpt-sync] Sync PR 27004 - Rename native_file_system -> file_system_access part 6/x.","All","James Graham [:jgraham]"
1734032,"task","[wpt-sync] Sync PR 31102 - CORB: Add manifest-based media and WebVTT to kNeverSniffedMimeTypes.","Core","DOM: Networking","wptsync","NEW"," ---","2021-10-04 14:29:49","All","P4"," --","[wpt-sync] Sync PR 31102 - CORB: Add manifest-based media and WebVTT to kNeverSniffedMimeTypes.","All","Dragana Damjanovic [:dragana]"
1754526,"task","[wpt-sync] Sync PR 32777 - App history: account for autofocus="""" when resetting focus","Testing","web-platform-tests","wptsync","NEW"," ---","2022-02-14 17:19:12","All","P4"," --","[wpt-sync] Sync PR 32777 - App history: account for autofocus="""" when resetting focus","All","James Graham [:jgraham]"
1633463,"task","[wpt-sync] Sync PR 23269 - Account for margin in root background visual rect","Core","Layout: Images, Video, and HTML Frames","wptsync","NEW"," ---","2020-04-29 10:48:38","All","P4"," --","[wpt-sync] Sync PR 23269 - Account for margin in root background visual rect","All","Emilio Cobos Álvarez (:emilio)"
1717928,"task","Automatically create Mozilla Bugzilla Bug for new Root Inclusion Cases","NSS","Common CA Database","nobody","NEW"," ---","2021-06-23 13:59:02","Unspecified","P4"," --","Automatically create Mozilla Bugzilla Bug for new Root Inclusion Cases","Unspecified",
1753162,"task","[wpt-sync] Sync PR 32657 - Reject HTTP/0.9 response after seeing 1xx response","Core","DOM: Networking","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32657 - Reject HTTP/0.9 response after seeing 1xx response","All","Dragana Damjanovic [:dragana]"
1662386,"task","[wpt-sync] Sync PR 25320 - Update interfaces/html.idl and remove interfaces/secure-contexts.idl","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-09-02 01:31:51","All","P4"," --","[wpt-sync] Sync PR 25320 - Update interfaces/html.idl and remove interfaces/secure-contexts.idl","All","Hsin-Yi Tsai [:hsinyi]"
1703193,"defect","glean might report incomplete/misleading `locale` in `client_info`","Data Platform and Tools","Glean: SDK","nobody","NEW"," ---","2021-05-03 08:12:25","Unspecified","P4"," --","glean might report incomplete/misleading `locale` in `client_info`","Unspecified","Jan-Erik Rediger [:janerik]"
1749105,"task","[wpt-sync] Sync PR 32299 - Make ScriptRunner PendingScriptClient and remove MovePendingScript()","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-01-07 22:46:05","All","P4"," --","[wpt-sync] Sync PR 32299 - Make ScriptRunner PendingScriptClient and remove MovePendingScript()","All","Hsin-Yi Tsai [:hsinyi]"
1752073,"task","[wpt-sync] Sync PR 32547 - event-before-promise.html won't be passed if initial orientation type is landscape.","Core","DOM: Core & HTML","wptsync","NEW"," ---","2022-02-13 13:18:23","All","P4"," --","[wpt-sync] Sync PR 32547 - event-before-promise.html won't be passed if initial orientation type is landscape.","All","Hsin-Yi Tsai [:hsinyi]"
1655871,"task","[wpt-sync] Sync PR 24793 - Clipboard API: Implemented the SVG clipboard reader and writer","Core","DOM: Core & HTML","wptsync","NEW"," ---","2020-09-01 12:01:32","All","P4"," --","[wpt-sync] Sync PR 24793 - Clipboard API: Implemented the SVG clipboard reader and writer","All","Hsin-Yi Tsai [:hsinyi]"
1690522,"task","[wpt-sync] Sync PR 27458 - [Not for landing] Enable synchronous parser by default for tests","Core","DOM: Core & HTML","wptsync","NEW"," ---","2021-02-03 04:39:27","All","P4"," --","[wpt-sync] Sync PR 27458 - [Not for landing] Enable synchronous parser by default for tests","All","Hsin-Yi Tsai [:hsinyi]"
